Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Global Environment Facility (GEF7);Multilateral;Cuba;Latin America & Caribbean;Upper middle income;Mainstreaming biodiversity conservation and climate change mitigation in sustainable tourism development in Cuba;Mitigation - General;General environment protection;DAC410_;Biosphere protection;Tourism, financial mechanisms;UNDP;MINTUR/CITMA;;2020;;;3,6;;;3,6;;;SIDS - Caribbean;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Cuba;Latin America & Caribbean;Upper middle income;Agroforestry Cooperative Development Project (PRODECAFE);Adaptation;Agriculture;DAC311_;Agricultural policy and administrative management;;Governments;;;2019;;;4;;;4;0,1;;SIDS - Caribbean;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Programme to Reduce Vulnerability in Coastal Fishing Aras (PRAREV);Adaptation;Agriculture;DAC311_;Fishing policy and administrative management;;Governments;;;2013;;;5,56;;;5,56;5,55;LDC;;FCAS
Adaptation Fund (AF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Integrated Water and Soil Resources Management Project (Projet de gestion intÈgrÈe des ressources en eau et des sols PROGIRES);Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;Adaptive capacity, rural poor;International Fund Agricultural Dev;Ministry of Agriculture, Water, Fisheries and Livestock;Government;2021;2027;;5,34;;;5,34;1,86;LDC;;FCAS
Adaptation Fund (AF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Developing Agro-Pastoral Shade Gardens as an Adaptation Strategy for Poor Rural Communities;Adaptation;Agriculture;DAC311_;Agricultural Development;;UNDP;Ministry of Habitat, Environment and Urbanism (MHEU);;2012;2018;;4,66;;;4,66;4,66;LDC;;FCAS
Global Climate Change Alliance (GCCA);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Alliance Mondiale contre le Changement Climatique ‡ Djibouti ñ RÈponses au changement climatique dans les secteurs de líÈnergie et de líeau;Multiple foci;Other Multisector;DAC430_;Environmental policy and administrative management;;National Government;;;2013;2017;;3,36;;;3,36;3,36;LDC;;FCAS
Global Environment Facility (GEF5);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Geothermal Power Generation Program;Mitigation - General;Energy generation, renewable sources;DAC232_;Geothermal;;World Bank;Ministry of Energy and Water;;2012;;;6,04;;;6,04;6,04;LDC;;FCAS
Global Environment Facility (GEF6);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Promoting a Better Access to Modern Energy Services through Sustainable Mini-grids and Hybrid Technologies in Djibouti;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;energy access, mini-grids, hybrid technologies;;Ministry of Housing, Urban and Environment;;2018;;;0,86;;;0,86;;LDC;;FCAS
Global Climate Change Alliance (GCCA);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;AMCC+ Djibouti : Renforcement de la re?silience climatique par le traitement inte?gre? et durable des eaux de Douda;Multiple foci;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;;National Government, AFD;;;2018;2024;;8,24;;;8,24;6,92;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Planning and implementing Ecosystem based Adaptation (EbA) in Djiboutiís Dikhil and Tadjourah regions;Adaptation;Other Multisector;DAC430_;Disaster Risk Reduction;Drought, resilience of local communities;UNDP;Ministry of Habitat, Urbanism, and Environment;Government;2022;;;8,93;;;8,93;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;RLACC - Rural Livelihoods' Adaptation to Climate Change in the Horn of Africa (PROGRAM);Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;;AfDB;"Ministry of Habitat, Urban planning, and Environment; Ministry of Agriculture, Fishing, Livestock and Halieutic Resources";;2016;;;5,08;;;5,08;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Implementing Adaptation Technologies in Fragile Ecosystems of Djibouti's Central Plains;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;Technologies, ecosystems;UNEP;MinistËre de l'urbanisme de l'habitat de l'environnement et de l'AmÈnagement du Territoire (MUHEAT);;2012;;;7,36;;;7,36;7,36;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Implementing NAPA Priority Interventions to Build Resilience in the most Vulnerable Coastal Zones in Djibouti ;Adaptation;General Environment Protection;DAC410_;Environmental policy and administrative management;NAPA;UNEP;MUHEAT;;2009;2017;;2;;;2;2;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;National Adaptation Programme of Action ;Adaptation;Unallocated / Unspecified;DAC998_;Environmental Research;NAPA;UNEP;Directorate of Land Planning and Environment Ministry of Housing, Urbanism, Environment and Land Management;;2004;2009;;0,2;;;0,2;0,2;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;Supporting Rural Community Adaptation to Climate Change in Mountain Regions of Djibouti;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;UNDP;Ministry of Habitat, Urbanism and Environment;;2013;;;5,38;;;5,38;5,38;LDC;;FCAS
Adaptation Fund (AF);Multilateral;Dominica;Latin America & Caribbean;Upper middle income;South-South Cooperation Grant (Readiness grant);Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;Department of Environment;;;2017;;;0,05;;;0,05;0,05;;SIDS - Caribbean;
Clean Technology Fund (CTF);Multilateral;Dominica;Latin America & Caribbean;Upper middle income;Geothermal Risk Mitigation;Mitigation - General;Energy generation, renewable sources;DAC232_;Geothermal;;IBRD;;;2017;;;1;9;;10;6,95;;SIDS - Caribbean;
Global Environment Facility (GEF5);Multilateral;Dominica;Latin America & Caribbean;Upper middle income;Low Carbon Development Path Promoting Energy Efficient Lighting and Solar Photovoltaic Technologies;Mitigation - General;Energy;DAC230_;EE / Solar Energy;;UNDP;Environmental Coordinating Unit;;2014;;;1,73;;;1,73;1,73;;SIDS - Caribbean;
Green Climate Fund IRM (GCF IRM);Multilateral;Regional - Sub-Saharan Africa (Benin, Burkina Faso, Guinea-Bissau, Mali, Niger, Togo);Sub-Saharan Africa;Not applicable;(FP105) BOAD climate finance facility to scale up solar energy investments in Francophone West Africa LDCs;Mitigation - General;Energy generation, renewable sources;DAC232_;Solar energy;Local capacity, energy access;Banque Ouest Africaine de DÈveloppement (BOAD);Banque Ouest Africaine de DÈveloppement (BOAD);;2019;2027;59,81;4,2;;;64,01;2,1;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;South Africa;Sub-Saharan Africa;Upper middle income;(FP106) Embedded Generation Investment Programme (EGIP);Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;Solar, Wind, private sector, vehicles;Development Bank of Southern Africa (DBSA);Development Bank of Southern Africa (DBSA);;2019;2024;100;;;;100;5;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Bhutan;South Asia;Lower middle income;(FP107) Supporting climate resilience and transformational change in the agriculture sector in Bhutan;Adaptation;Agriculture;DAC311_;Agricultural alternative development;Smallholders, resilience;UNDP;Gross National Happiness Commission (GNHC);;2019;2025;;25,35;;;25,35;25,35;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Pakistan;South Asia;Lower middle income;(FP108) Transforming the Indus Basin with climate resilient agriculture and water management;Adaptation;Agriculture;DAC311_;Agricultural alternative development;Water management, technology, information;FAO;FAO;;2019;2026;;34,99;;;34,99;11,29;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Timor Leste;East Asia & Pacific;Lower middle income;(FP109) Safeguarding rural communities and their physical assets from climate induced disasters in Timor-Leste;Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;Local infrastructures, monitoring, information;UNDP;Ministry of Commerce, Industry and Environment (General Directorate for Environment);;2019;;;22,36;;;22,36;15,54;LDC;SIDS - Pacific;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;(FP110) Ecuador REDD-plus RBP for results period 2014;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;Sustainable management, transitioning;UNDP;MAE Ecuador;;2019;2026;;18,57;;;18,57;18,57;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Honduras;Latin America & Caribbean;Lower middle income;(FP111) Promoting climate-resilient forest restoration and silviculture for the sustainability of water-related ecosystem services;Multiple Foci;Forestry;DAC312_;Forestry policy and administrative management;Local communities, private sector, governance;IDB;Ministry of Finance (SEFIN);National government;2019;2025;10,74;24,26;;;35;1,79;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Marshall Islands;East Asia & Pacific;Upper middle income;(FP112) Addressing climate vulnerability in the water sector (ACWA) in the Marshall Islands;Adaptation;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;Rainwater, storage structures, seawater;UNDP;UNDP;;2019;2027;;18,63;;;18,63;15,26;;SIDS - Pacific;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;(FP113) Towards ending drought emergencies: Ecosystem based Adaptation in Kenya's arid and semi-arid rangelands (TWENDE);Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;Building capacity, institutions, arid;International Union for Conservation of Nature (IUCN);Ministry of Agriculture and Irrigation (MoAI) and National Drough Management Authority (NDMA), Conservation International;;2019;2025;;23,15;;;23,15;11,25;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Ghana;Sub-Saharan Africa;Lower middle income;(FP114) Program on Affirmative Finance Action for Women in Africa (AFAWA): Financing climate resilient agricultural practices in Ghana;Multiple Foci;Agriculture;DAC311_;Agricultural financial services;Credit, MSMEs, women;African Development Bank (AfDB);African Development Bank (AfDB), Local financial institutions, FBAs, Agribusiness MSMEs;;2019;;13,25;6,75;;;20;10,31;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;(FP116) Carbon Sequestration through Climate Investment in Forests and Rangelands in Kyrgyz Republic (CS-FOR;Multiple foci;Forestry;DAC312_;Forestry policy and administrative management;;Food and Agriculture Organization of the United Nations (FAO);State Agency for Environmental Protection and Forestry;Public Sector;2019;2026;;29,99;;;29,99;7,51;;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Colombia;Latin America & Caribbean;Upper middle income;"TAF: Sustainable Growth and Resilience; Private Participation Schemes in Infrastructure";Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;IADB;Public / Private Sector;;2022;;;0,5;;;0,5;0,5;;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Dominica;Latin America & Caribbean;Upper middle income;Dominica Disaster Vulnerability Reduction Project ;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;IBRD;The Ministry of the Environment, Natural Resources, Physical Planning and Fisheries;;2014;;9;12;;;21;20,94;;SIDS - Caribbean;
Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Emission Reductions Payment Agreement;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Ministry of Finance;;2021;;;25;;;25;0;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Strengthening of a Replicable Micro Ecosystem of Accelerated Technological Innovation for Adaptation and Mitigation to Climate Change in Dominican Republic through the Development of a Pilot Thermo Solar Desalination Appropriate Technology (Innovation grant) ;Adaptation;General environment protection;DAC410_;;;IDDI;;;2020;;;0,25;;;0,25;0,25;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Technical assistance grant for ESP and gender (Readiness grant);Adaptation;General environment protection;DAC410_;;;IDDI;;;2018;;;0,02;;;0,02;0,02;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Enhancing climate resilience in San Cristobal Province, Dominican Republic- Integrated Water Resources Management and Rural Development Programme (IDDI) (project forumulation grant);Adaptation;Water Supply & Sanitation;DAC140_;;;Dominican Institute of Integral Development (IDDI);;;2017;;;0,03;;;0,03;0,03;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Enhancing climate resilience in San Cristobal Province, Dominican Republic- Integrated Water Resources Management and Rural Development Programme (IDDI) ;Adaptation;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;Water, sanitation, rural;Dominican Institute of Integral Development of Dominican Republic;Ministry of Environment and Natural Resources, National Institute for Water Supply, Community-based NGOs;;2019;2023;;9,95;;;9,95;9,95;;SIDS - Caribbean;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;;;2015;;;6;;;6;5,98;;SIDS - Caribbean;
Global Environment Facility (GEF5);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Stimulating Industrial Competitiveness Through Biomass-based, Grid-connected Electricity Generation;Mitigation - General;Energy;DAC230_;Biomass;;UNIDO;National Energy Commission (CNE);;2012;2015;;1,3;;;1,3;1,3;;SIDS - Caribbean;
Global Environment Facility (GEF6);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Promoting Climate-smart Livestock Management in the Dominican Republic;Multiple Foci;Agriculture;DAC311_;Agriculture;livestock-management;FAO;"Ministry of Environment and Natural Resources (MARENA); Ministry of Agriculture (DIGEGA ñ CONALECHE)";;2018;;;1,54;;;1,54;;;SIDS - Caribbean;
Global Environment Facility (GEF6);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Dominican Republic First Biennial Update Report (fBUR);Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;;UNDP;"Ministry of Environment and Natural Resources; National Council on Climaet Change and Clean Development Mechanism";;2017;;;0,35;;;0,35;0,35;;SIDS - Caribbean;
Global Climate Change Alliance (GCCA);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;Building climate and disaster risk reduction resilience in Dominican Republicís coastal-mountainous gradient via Ecosystem-based Adaptation;Multiple foci;Other Multisector;DAC430_;Disaster Risk Reduction;;GIZ;;;2018;2024;;6,34;;;6,34;6,05;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Enhancing Resilience of Communities to the adverse effects of climate change on food security, in Pinchincha Province and the Jubones River basin;Adaptation;Agriculture;DAC311_;Environmental policy and administrative management;Food security, flood defense, water, ealry warning systems;WFP;"Ministry of Environment in coordination with the Ministry of Agriculture, Livestock, Aquaculture and Fisheries; the Commonwealth of the River Jubones Basin; and the Provincial Government of Pichincha";;2011;2016;;7,45;;;7,45;7,45;;;
Adaptation Fund (AF);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Increasing adaptive capacity of local communities, ecosystems and hydroelectric systems in the RÌo Blanco upper watershed (Toachi-PilatÛn watershed);Adaptation;General Environment Protection;DAC410_;;watershed management, vulnerable populations, ecosystems, hydroelectric systems;CAF Development Bank of Latin America;Ministry of Environment of Ecuador (MAE);;2018;2022;;2,49;;;2,49;0,65;;;
Clean Technology Fund (CTF);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;DPSP III: Financing Sustainable Electric Transport in Ecuador;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;;IADB;Public Sector;;2020;;23;1,1;;;24,1;0,73;;;
Global Environment Facility (GEF4);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Industrial Energy Efficiency in Ecuador;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNIDO;;;2010;;;0,92;;;0,92;0,92;;;
Global Environment Facility (GEF5);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Securing Energy Efficiency in the Ecuadorian Residential and Public Sectors (SECURE);Mitigation - General;Energy;DAC230_;Energy efficiency;Buildings;UNDP;Ministry of Electricity and Renewable Energy (MEER);;2013;;;1,78;;;1,78;1,78;;;
Global Environment Facility (GEF5);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Rural Electrification with Renewable Energy in Isolated Areas of Ecuador;Mitigation - General;Energy;DAC230_;Power generation/renewable sources;;IADB;Ministry of Electricity and Renewable Energy (MEER), with the support of the Consejo Nacional de Electricidad [National Electricity Commission] (CONELEC);;2013;;;0,91;;;0,91;0,91;;;
Global Environment Facility (GEF5);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Third National Comunication (3NC) and First Biennial Update Report (BUR);Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Ministry of Environment;;2013;2017;;0,85;;;0,85;0,85;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;(FP117) Implementation of the Lao PDR Emission Reductions Programme through improved governance and sustainable forest landscape management;Mitigation - General;Forestry;DAC312_;Forestry policy and administrative management;;Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH;Government of Lao PDR;Public Sector;2019;2024;;15,59;;;15,59;15,91;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Nepal;South Asia;Low income;(FP118) Building a Resilient Churia Region in Nepal (BRCRN;Multiple Foci;Forestry;DAC312_;Forestry policy and administrative management;;Food and Agriculture Organization of the United Nations (FAO);Ministry of Forests and Environment;Public Sector;2019;2027;;39,3;;;39,3;14,14;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;West Bank and Gaza;Middle East & North Africa;Not applicable;(FP119) Water Banking and Adaptation of Agriculture to Climate Change in Northern Gaza;Multiple Foci;Water Supply & Sanitation;DAC140_;Water supply - large systems;;Agence FranÁaise de Developpement (AFD);Palestinian Water Authority, and Ministry of Agriculture;Public Sector;2019;2025;;24,88;;;24,88;3,06;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Chile;Latin America & Caribbean;High income;(FP120) Chile REDD-plus results-based payments for results period 2014-2016;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;Food and Agriculture Organization of the United Nations (FAO);FAO;;2019;2026;;63,61;;;63,61;63,61;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Paraguay;Latin America & Caribbean;Upper middle income;(FP121) REDD+ Results-based payments in Paraguay for the period 2015-2017;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;The United Nations Environment Programme (UNEP);Ministry of Environment and Sustainable Development (MADES);Public Sector;2019;2026;;50;;;50;50;;;
Global Environment Facility (GEF7);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;National child project under the GEF Africa Mini-grids Program Djibouti;Mitigation - General;Energy Generation, Renewable Sources;DAC232_;Energy generation, renewable sources - multiple technologies;"mini-grids; renewables";UNDP;Ministry of Urban Planning, Environment and Tourism;;2021;;;3,07;;;3,07;;LDC;;FCAS
Global Environment Facility (GEF7);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Support the shift towards low-carbon electric mobility in Ecuador;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;GHG emissions, electric mobility;UNEP;Ministry of Environment, Water and Ecologic Transition (MAATE);Government;2022;;;1,28;;;1,28;;;;
Global Environment Facility (GEF7);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Implementing Ecuadorís Climate Transparency System;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental research;Transparency, Paris Agreement;UNEP;Ministry of Environment and Water (MAAE);Government;2022;;;1,99;;;1,99;;;;
Global Environment Facility (GEF7);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Fourth National Communication (4NC) and Second Biennial Update Report (2BUR);Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Ministry of Environment;;2019;;;0,85;;;0,85;;;;
MDG Achievement Fund;Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Conservation and Sustainable Management of the Natural and Cultural Heritage of the YasunÌ Biosphere Reserve;Mitigation - REDD;Forestry;DAC312_;Forestry education/training;;;;;2008;;;4;;;4;4;;;
Special Climate Change Fund (SCCF);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;Adaptation to Climate Change through Effective Water Governance ;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;UNDP;Ministry of the Environment;;2007;2015;;3;;;3;3;;;
UN-REDD Programme;Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;00078169 Programa ONU-REDD Ecuador;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;FAO / UNDP / UNEP;Ministry of Environment;;2011;2014;;4;;;4;4;;;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Sustainable Agriculture Investments and Livelihoods (SAIL);Adaptation;Agriculture;DAC311_;Agricultural policy and administrative management;;Governments;;;2014;;;5;;;5;4,43;;;
Adaptation Fund (AF);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Building Resilient Food Security Systems to Benefit the Southern Egypt Region - Phase 2;Adaptation;Agriculture;DAC311_;Agricultural water resources;;WFP;Ministry of Agriculture, Ministry of Environment;;2020;2023;;3,09;;;3,09;3,09;;;
Adaptation Fund (AF);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Building Resilient Food Security Systems to Benefit the Southern Egypt Region;Adaptation;Agriculture;DAC311_;Agricultural water resources;;WFP;Ministry of Agriculture, Ministry of Environment;;2012;2017;;6,9;;;6,9;6,9;;;
Clean Technology Fund (CTF);Multilateral;Egypt;Middle East & North Africa;Lower middle income;DPSP III Futures Window: Green Hydrogen Financing Facility ;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;EBRD;Private sector;;2022;;;30;;;30;;;;
Clean Technology Fund (CTF);Multilateral;Egypt;Middle East & North Africa;Lower middle income;DPSP III: Sustainable Urban Infrastructure: Expansion;Mitigation - General;Transport & Storage;DAC210_;Road transport;;IFC;Private sector;;2020;;30;0,3;;;30,3;;;;
Clean Technology Fund (CTF);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Wind Power Development Project;Mitigation - General;Energy generation, renewable sources;DAC232_;Wind Power;;IBRD;National Company Recipient (NCR);;2010;;124,08;0,25;;;124,33;124,33;;;
Global Environment Facility (GEF4);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Bioenergy for Sustainable Rural Development;Mitigation - General;Energy generation, renewable sources;DAC232_;Biofuel-fired power plants;;UNDP;;;2007;;;3;;;3;3;;;
Global Environment Facility (GEF4);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Improving the energy efficiency of lighting and building appliances;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNDP;;;2009;;;4,45;;;4,45;4,45;;;
Global Environment Facility (GEF4);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Industrial Energy Efficiency (IEE);Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNIDO;;;2009;;;3,95;;;3,95;3,95;;;
Global Environment Facility (GEF4);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Sustainable Transport;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;;UNDP;;;2007;;;6,9;;;6,9;6,9;;;
Global Environment Facility (GEF5);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Utilizing Solar Energy for Industrial Process Heat in Egyptian Industry;Mitigation - General;Energy;DAC230_;Solar Energy;;UNIDO;;;2013;;;6,5;;;6,5;;;;
Global Environment Facility (GEF5);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Grid-Connected Small-Scale Photovoltaic Systems;Mitigation - General;Energy generation, renewable sources;DAC232_;Solar Energy;;UNDP;Ministry of Industry and Foreign Trade;;2013;;;3,54;;;3,54;3,54;;;
Global Environment Facility (GEF6);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Sustainable Management of Kharga Oasis Agro-Ecosystems in the Egyptian Western Desert;Mitigation - General;Agriculture;DAC311_;Agriculture;;FAO;Desert Research Centre of the Ministry of Agriculture and Land Reclamation;;2018;;;1,05;;;1,05; ;;;
Global Environment Facility (GEF6);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Fourth National Communication to the UNFCCC;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;reporting;UNDP;Egyptian Environmental Affairs Agency (EEAA);;2018;;;0,5;;;0,5;;;;
Global Environment Facility (GEF6);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Egyptian Programme for Promoting Industrial Motor Efficiency ;Mitigation - General;Transport & Storage;DAC210_;Road transport;;UNIDO;Ministry of Trade and Industry (MoTI)Egyptian National Cleaner ProductionCenter (ENCPC)Federation of Egyptian Industries (FEI);;2017;;;2,75;;;2,75; ;;;
Global Environment Facility (GEF6);Multilateral;Egypt;Middle East & North Africa;Lower middle income;First Biennial Update Report;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;;;2014;2019;;0,35;;;0,35;0,35;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Multi-country;Not applicable;Not applicable;(FP122) Blue Action Fund (BAF;Adaptation;Banking & Financial Services;DAC240_;Informal/semi-formal financial intermediaries;;Kreditanstalt fur Wiederoufbou (KfW);Blue Action Fund;Public Sector;2019;2028;;31,48;;;31,48;8,86;;;
Green Climate Fund (GCF-1);Multilateral;Sri Lanka;South Asia;Lower middle income;(FP124) Strengthening Climate Resilience of Subsistence Farmers and Agricultural Plantation Communities residing in the vulnerable river basins, watershed areas and downstream of the Knuckles Mountain Range Catchment of Sri Lanka;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;Smallholders, resilience;International Union for Conservation of Nature (IUCN);Ministry of Environment;;2020;2026;;39,78;;;39,78;4,18;;;
Global Environment Facility (GEF7);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Seventh Operational Phase of the GEF Small Grants Programme in Egypt;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;Integrated agro-ecological practices;UNDP;UNOPS;IO;2020;;;2,1;;;2,1;;;;
Global Environment Facility (GEF7);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Greening Hurghada;Mitigation - General;Other Multisector;DAC430_;Urban development and management;Coastal, infrastructure, emissions;UNIDO;;;2021;;;1,94;;;1,94;;;;
Global Environment Facility (GEF7);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Green Sharm El Sheikh;Adaptation;Other Multisector;DAC430_;Urban development and management;;UNDP;Ministry of Environment;;2019;;;6,21;;;6,21;;;;
MDG Achievement Fund;Multilateral;Egypt;Middle East & North Africa;Lower middle income;Climate Change Risk Management in Egypt;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;;FAO/UNDP/IFAD/UNESCO/UNIDO/UNEP;;;2008;;;4;;;4;4;;;
Special Climate Change Fund (SCCF);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Integrated Management and Innovation in Rural Settlements;Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;IFAD;Ministry of Agriculture and Land Reclamation Ministry of Environmental Affairs ;;2015;;;7,81;;;7,81;;;;
